ENCSR231BZU	ENCFF568ADF	ENCFF023VMB	Homo sapiens GM19351
ENCSR233HSC	ENCFF693CDG	ENCFF353OEE	Homo sapiens GM21723
ENCSR238VHV	ENCFF677EWJ	ENCFF440RDV	Homo sapiens fallopian tube tissue female adult (46 years)
ENCSR241OBO	ENCFF541GYF	ENCFF404IAG	Homo sapiens adrenal gland tissue female adult (59 years)
ENCSR241VGH	ENCFF453GXR	ENCFF241EBE	Homo sapiens GM18502
ENCSR249FXU	ENCFF935BZV	ENCFF519OXO	Homo sapiens HG03045
ENCSR251POP	ENCFF678PAI	ENCFF863PLK	Homo sapiens pancreas tissue female adult (61 years)
ENCSR253QLW	ENCFF313BZQ	ENCFF990WXU	Homo sapiens GM18511
ENCSR258JCL	ENCFF080IAR	ENCFF703MFP	Homo sapiens gastrocnemius medialis tissue male adult (37 years)
ENCSR258RSH	ENCFF788BUI	ENCFF677BPI	Homo sapiens T-cell male adult (38 years)
ENCSR260LAN	ENCFF705AZV	ENCFF778DJR	Homo sapiens naive thymus-derived CD4-positive, alpha-beta T cell male adult (48 years)
ENCSR261PWP	ENCFF456OPK	ENCFF546IOZ	Homo sapiens activated CD4-positive, CD25-positive, alpha-beta regulatory T cell male adult (42 years) treated with anti-CD3 and anti-CD28 coated beads for 24 hours, 50 U/mL Interleukin-2 for 24 hours
ENCSR275LCF	ENCFF890KJS	ENCFF472UIU	Homo sapiens GM21786
ENCSR278JWM	ENCFF861UUN	ENCFF890LTR	Homo sapiens HG03558
ENCSR283LPH	ENCFF349KLY	ENCFF995WDO	Homo sapiens naive thymus-derived CD8-positive, alpha-beta T cell nuclear fraction male adult (30 years)
ENCSR286STX	ENCFF135EYC	ENCFF169GLM	Homo sapiens heart left ventricle tissue male adult (66 years)
ENCSR291GJU	ENCFF439EIO	ENCFF645OHB	Homo sapiens HepG2
ENCSR299LSN	ENCFF867TMP	ENCFF364GFY	Homo sapiens T-cell male adult (42 years)
ENCSR302PTB	ENCFF178DTJ	ENCFF216VWI	Homo sapiens stimulated activated memory B cell male adult (40 years) treated with 10 μg/mL anti-IgM for 72 hours, 1 μg/mL anti-CD40 for 72 hours, 100 ng/mL Interleukin-4 for 72 hours
ENCSR303PWB	ENCFF068ISD	ENCFF477VDG	Homo sapiens esophagus mucosa tissue female adult (47 years)
ENCSR305QTE	ENCFF040SJW	ENCFF194EMK	Homo sapiens natural killer cell male adult (47 years)
ENCSR305XRF	ENCFF914TAP	ENCFF101BDO	Homo sapiens HG03175
ENCSR308HPZ	ENCFF849FQV	ENCFF163JWV	Homo sapiens gastrocnemius medialis tissue male adult (54 years)
ENCSR310RJN	ENCFF568NPG	ENCFF875SZE	Homo sapiens heart left ventricle tissue male adult (43 years)
ENCSR310UDW	ENCFF241UNR	ENCFF618FTE	Homo sapiens left cardiac atrium tissue male adult (40 years)
ENCSR315QWI	ENCFF529WCI	ENCFF261VHL	Homo sapiens GM21737
ENCSR322SBN	ENCFF717APJ	ENCFF477DEN	Homo sapiens HG03457
ENCSR326ESM	ENCFF354VIQ	ENCFF021KYU	Homo sapiens stimulated activated naive CD8-positive, alpha-beta T cell male adult (42 years) treated with anti-CD3 and anti-CD28 coated beads for 24 hours, 50 U/mL Interleukin-2 for 24 hours, 100 ng/mL Interleukin-15 for 24 hours
ENCSR329XFZ	ENCFF350PMA	ENCFF369AAJ	Homo sapiens dendritic cell treated with 100 ng/mL lipopolysaccharide for 30 minutes
ENCSR330WUK	ENCFF851UZI	ENCFF172SJH	Homo sapiens left cardiac atrium tissue male adult (60 years)
ENCSR335JVB	ENCFF546KKI	ENCFF840DXB	Homo sapiens GM19372
ENCSR335LHS	ENCFF547LIL	ENCFF670PIL	Homo sapiens stimulated activated effector memory CD8-positive, alpha-beta T cell male adult (33 years) treated with 100 ng/mL Interleukin-12 subunit alpha for 72 hours, 100 ng/mL Interleukin-12 subunit beta for 72 hours, anti-CD3 and anti-CD28 coated beads for 72 hours
ENCSR335XRZ	ENCFF211AMR	ENCFF471TZT	Homo sapiens stimulated activated effector memory CD8-positive, alpha-beta T cell male adult (36 years) treated with 100 ng/mL Interleukin-12 subunit alpha for 72 hours, 100 ng/mL Interleukin-12 subunit beta for 72 hours, anti-CD3 and anti-CD28 coated beads for 72 hours
ENCSR337UIU	ENCFF880EHI	ENCFF868ZCL	Homo sapiens stomach tissue female adult (53 years)
ENCSR345NVR	ENCFF178ZJR	ENCFF413WLZ	Homo sapiens HG03460
ENCSR356KRQ	ENCFF551GBG	ENCFF653FDR	Homo sapiens foreskin keratinocyte male newborn (2-4 days)
ENCSR357WQH	ENCFF761RSD	ENCFF879GGI	Homo sapiens GM18508
ENCSR359HFH	ENCFF099GAL	ENCFF966MMP	Homo sapiens HG03095
ENCSR368FYV	ENCFF594ZAI	ENCFF893KEJ	Homo sapiens HG02852
ENCSR372IGW	ENCFF518QUX	ENCFF060JKX	Homo sapiens GM19395
ENCSR373GMM	ENCFF751CLW	ENCFF466HAO	Homo sapiens natural killer cell male adult (33 years)
ENCSR373NFA	ENCFF792YKT	ENCFF093FUQ	Homo sapiens activated naive CD4-positive, alpha-beta T cell male adult (50 years) treated with anti-CD3 and anti-CD28 coated beads for 72 hours, 50 U/mL Interleukin-2 for 72 hours
ENCSR374ZRW	ENCFF790ZOM	ENCFF275CPB	Homo sapiens heart right ventricle tissue female adult (56 years)
ENCSR376YMU	ENCFF612NLR	ENCFF120TUR	Homo sapiens HG03439
ENCSR379NMT	ENCFF587QZR	ENCFF934HGD	Homo sapiens stimulated activated naive B cell male adult (40 years) treated with 1 μg/mL anti-CD40 for 72 hours, 10 μg/mL anti-IgM for 72 hours, 100 ng/mL Interleukin-4 for 72 hours
ENCSR381LJX	ENCFF299PGG	ENCFF690ERQ	Homo sapiens HG03039
ENCSR382LBS	ENCFF060HHC	ENCFF573SLV	Homo sapiens NCI-H929
ENCSR383RDZ	ENCFF683FRF	ENCFF580WZB	Homo sapiens GM19328
ENCSR390SLL	ENCFF803AAK	ENCFF834ZKF	Homo sapiens left cardiac atrium tissue female adult (42 years)
ENCSR392UJM	ENCFF985FDY	ENCFF187FSZ	Homo sapiens ovary tissue female adult (61 years)
ENCSR392YGP	ENCFF541PYT	ENCFF428KAK	Homo sapiens effector memory CD8-positive, alpha-beta T cell male adult (33 years)
ENCSR399OSE	ENCFF056KYH	ENCFF016KCE	Homo sapiens heart left ventricle tissue female adult (47 years)
ENCSR400ISH	ENCFF781HFK	ENCFF008HZU	Homo sapiens HG02571
ENCSR404LLJ	ENCFF563UYM	ENCFF033RPN	Homo sapiens transverse colon tissue female adult (53 years)
ENCSR404OEO	ENCFF780FGU	ENCFF997MUT	Homo sapiens HG02763
ENCSR409YCK	ENCFF589OTG	ENCFF575ZRJ	Homo sapiens GM19043
ENCSR410DWV	ENCFF610SOB	ENCFF345PTN	Homo sapiens from a donor with amyotrophic lateral sclerosis; motor neuron
ENCSR411NFB	ENCFF845NWD	ENCFF728DLQ	Homo sapiens activated T-cell female adult (33 years) treated with 50 U/mL Interleukin-2 for 4 hours, anti-CD3 and anti-CD28 coated beads for 4 hours
ENCSR419UYY	ENCFF915OAM	ENCFF475KJF	Homo sapiens GM19025
ENCSR420RVW	ENCFF730TRQ	ENCFF684SCN	Homo sapiens HG02870
ENCSR422RPD	ENCFF387RGN	ENCFF146GHP	Homo sapiens GM21717
ENCSR422SUG	ENCFF821OEF	ENCFF782BVX	Homo sapiens MCF-7
ENCSR424KQH	ENCFF718JVL	ENCFF616HTW	Homo sapiens GM21447
ENCSR437OOJ	ENCFF320CXX	ENCFF355NHX	Homo sapiens heart right ventricle tissue female adult (59 years)
ENCSR439TZT	ENCFF078RSS	ENCFF808EZU	Homo sapiens heart right ventricle tissue male adult (66 years)
ENCSR442OAV	ENCFF481DKV	ENCFF549PEF	Homo sapiens GM18517
ENCSR452COS	ENCFF685MCV	ENCFF567YWL	Homo sapiens naive thymus-derived CD4-positive, alpha-beta T cell male adult (50 years)
ENCSR454UTH	ENCFF582GKW	ENCFF095KQF	Homo sapiens GM19452
ENCSR459AYS	ENCFF640USO	ENCFF290XFJ	Homo sapiens dendritic cell treated with 100 ng/mL lipopolysaccharide for 2 hours
ENCSR459PVP	ENCFF951DOQ	ENCFF839JKY	Homo sapiens from a donor with amyotrophic lateral sclerosis; motor neuron
ENCSR470ZNM	ENCFF295IRG	ENCFF337DQV	Homo sapiens HG03060
ENCSR474XFV	ENCFF682VUY	ENCFF974RPS	Homo sapiens thyroid gland tissue male adult (54 years)
ENCSR476VJY	ENCFF035XXI	ENCFF308HXP	Homo sapiens CD8-positive, alpha-beta T cell male adult (21 years)
ENCSR476WNA	ENCFF871DTB	ENCFF567XSR	Homo sapiens ovary tissue female adult (47 years)
ENCSR477YSU	ENCFF026XCY	ENCFF610LQJ	Homo sapiens activated naive CD8-positive, alpha-beta T cell male adult (42 years) treated with anti-CD3 and anti-CD28 coated beads for 24 hours, 50 U/mL Interleukin-2 for 24 hours
ENCSR483RKN	ENCFF558BLC	ENCFF754EAC	Homo sapiens K562
ENCSR485TLP	ENCFF567ZCX	ENCFF378ZGI	Homo sapiens GM23338
ENCSR487QSB	ENCFF903NSQ	ENCFF570XGF	Homo sapiens GM18907
ENCSR487SOP	ENCFF378XZA	ENCFF321AMD	Homo sapiens HG03064
ENCSR491VXJ	ENCFF191ZOC	ENCFF808LOI	Homo sapiens mucosa of descending colon tissue male adult (26 years)
ENCSR492FJO	ENCFF094CWB	ENCFF829IFA	Homo sapiens GM18867
ENCSR496PPU	ENCFF721WEZ	ENCFF663HOS	Homo sapiens mucosa of descending colon tissue female adult (61 years)
ENCSR499ASS	ENCFF811MOZ	ENCFF124ZQJ	Homo sapiens PC-3
ENCSR504OUW	ENCFF754GUE	ENCFF736UWT	Homo sapiens CD4-positive, CD25-positive, alpha-beta regulatory T cell male adult (38 years)
ENCSR509JPT	ENCFF218UOX	ENCFF166IBK	Homo sapiens GM21367
ENCSR512FHU	ENCFF283LXY	ENCFF816XRV	Homo sapiens GM19023
ENCSR512YXO	ENCFF980BJM	ENCFF062JUV	Homo sapiens GM21381
ENCSR516CPW	ENCFF318SNW	ENCFF831BRS	Homo sapiens right lobe of liver tissue female adult (47 years)
ENCSR516YAD	ENCFF415HUA	ENCFF330ZVA	Homo sapiens from a donor with amyotrophic lateral sclerosis; motor neuron
ENCSR522FGI	ENCFF169LSG	ENCFF442VFE	Homo sapiens heart right ventricle tissue male adult (43 years)
ENCSR524CPZ	ENCFF986ZDE	ENCFF234SOC	Homo sapiens HG02798
ENCSR528YDD	ENCFF806ZOU	ENCFF077IHT	Homo sapiens HG03342
ENCSR530XBF	ENCFF029YUG	ENCFF140GLW	Homo sapiens pancreas tissue female child (16 years)
ENCSR541KFY	ENCFF321VDH	ENCFF056MYW	Homo sapiens WTC11
ENCSR542RNG	ENCFF802GII	ENCFF413EZP	Homo sapiens adrenal gland tissue male adult (26 years)
ENCSR544YXV	ENCFF769NLM	ENCFF682YDM	Homo sapiens dendritic cell treated with 100 ng/mL lipopolysaccharide for 1 hour
ENCSR545UJP	ENCFF706APW	ENCFF116IVX	Homo sapiens activated CD8-positive, alpha-beta T cell nuclear fraction male adult (21 years) treated with anti-CD3 and anti-CD28 coated beads for 7 days, 10 ng/mL Interleukin-2 for 5 days
ENCSR548KIL	ENCFF141QUY	ENCFF083NYF	Homo sapiens adrenal gland tissue male adult (37 years)
ENCSR551CSY	ENCFF168WTX	ENCFF650BOQ	Homo sapiens mesenteric fat pad tissue male adult (26 years)
ENCSR552QUA	ENCFF680JZM	ENCFF322GCT	Homo sapiens posterior vena cava tissue female adult (47 years)
ENCSR553LAZ	ENCFF994UIF	ENCFF593JPB	Homo sapiens adrenal gland tissue female child (16 years)
ENCSR554WGQ	ENCFF817JLB	ENCFF785KEG	Homo sapiens HG03280
ENCSR555ZDH	ENCFF899TQV	ENCFF891GWZ	Homo sapiens lower lobe of left lung tissue male adult (60 years)
ENCSR558ZSN	ENCFF381CVI	ENCFF347FGY	Homo sapiens activated T-cell female adult (21 years) treated with anti-CD3 and anti-CD28 coated beads for 72 hours, 50 U/mL Interleukin-2 for 72 hours
ENCSR563ZNI	ENCFF012BKZ	ENCFF342SSO	Homo sapiens heart right ventricle tissue male adult (61 years)
ENCSR580JBA	ENCFF755FSW	ENCFF304QRZ	Homo sapiens GM18868
ENCSR587TRP	ENCFF716JUM	ENCFF855TQX	Homo sapiens SK-N-SH treated with 6 μM all-trans-retinoic acid for 48 hours
ENCSR589ROM	ENCFF033XTY	ENCFF972MSC	Homo sapiens dendritic cell treated with 100 ng/mL lipopolysaccharide for 4 hours
ENCSR591PIX	ENCFF182SSP	ENCFF757YRZ	Homo sapiens Panc1
ENCSR593YFB	ENCFF904QPU	ENCFF649ZGT	Homo sapiens heart left ventricle tissue female adult (42 years)
ENCSR594TMY	ENCFF735PGH	ENCFF435ZPU	Homo sapiens HG03521
ENCSR600ZHS	ENCFF009YES	ENCFF057BIJ	Homo sapiens left colon tissue female adult (46 years)
ENCSR603LVR	ENCFF421XIL	ENCFF228BMJ	Homo sapiens B cell male adult (22 years)
ENCSR604YEQ	ENCFF354WTG	ENCFF202SER	Homo sapiens HG02884
ENCSR605EGR	ENCFF776QKF	ENCFF008XXR	Homo sapiens dendritic cell treated with 100 ng/mL lipopolysaccharide for 30 minutes
ENCSR607BTF	ENCFF415YNL	ENCFF646EEM	Homo sapiens right lobe of liver tissue male adult (45 years)
ENCSR610AQP	ENCFF888IRH	ENCFF509NWL	Homo sapiens memory B cell male adult (40 years)
ENCSR611BQR	ENCFF721ZMU	ENCFF121MUN	Homo sapiens T-helper 17 cell male adult (50 years)
ENCSR614JAG	ENCFF555UEL	ENCFF483NBG	Homo sapiens naive thymus-derived CD8-positive, alpha-beta T cell male adult (36 years)
ENCSR615YIL	ENCFF045HAH	ENCFF034VPU	Homo sapiens HG03139
ENCSR621JYI	ENCFF061BAD	ENCFF850URQ	Homo sapiens HG02885
